date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:47	5648/5648	---M-Z	200	added ('OK')	application/javascript	etag:%221610-5a652ab609727-gzip%22	http://exill.dk/demo/kitzu/template/js/main.js	E:/theme/Profile%201/exill.dk/demo/kitzu/template/js/main.js	(from http://exill.dk/demo/kitzu/template/index.html)
21:47:48	338/338	---M-Z	200	added ('OK')	application/javascript	etag:%22152-5a652a9f5d945-gzip%22	http://exill.dk/demo/kitzu/template/js/custom.js	E:/theme/Profile%201/exill.dk/demo/kitzu/template/js/custom.js	(from http://exill.dk/demo/kitzu/template/index.html)
21:47:49	0/0	---M-Z	200	added ('OK')	application/javascript	etag:W/%220-5a6529b296a9d%22	http://exill.dk/demo/kitzu/customizer/main.js	E:/theme/Profile%201/exill.dk/demo/kitzu/customizer/main.js	(from http://exill.dk/demo/kitzu/template/index.html)
21:47:58	50556/50556	---M--	200	added ('OK')	font/woff2	etag:%22c57c-5a652a2d14ee5%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.woff2?v=4.5.7	E:/theme/Profile%201/exill.dk/demo/kitzu/template/fonts/ionicons9a08.woff2	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
21:48:00	112662/112662	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b816-5a652a01863d5%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.eot?v=4.5.7	E:/theme/Profile%201/exill.dk/demo/kitzu/template/fonts/ionicons9a08.eot	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
21:48:01	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jul%202020%2015:48:02%20GMT	http://exill.dk/demo/kitzu/template/css/font/ytp-regular.eot	E:/theme/Profile%201/exill.dk/demo/kitzu/template/css/font/ytp-regular.48.delayed	(from http://exill.dk/demo/kitzu/template/css/jquery.mb.YTPlayer.min.css)
21:48:02	65916/65916	---M--	200	added ('OK')	application/font-woff	etag:%221017c-5a652a288cbe5%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.woff?v=4.5.7	E:/theme/Profile%201/exill.dk/demo/kitzu/template/fonts/ionicons9a08.woff	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
21:48:08	312755/312755	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c5b3-5a652a22ce002%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.svg?v=4.5.7	E:/theme/Profile%201/exill.dk/demo/kitzu/template/fonts/ionicons9a08.svg	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
21:48:08	41865/41865	---M--	200	added ('OK')	image/jpeg	etag:%22a389-5a652a92fa987%22	http://exill.dk/demo/kitzu/template/img/video.jpg	E:/theme/Profile%201/exill.dk/demo/kitzu/template/img/video.jpg	(from http://exill.dk/demo/kitzu/template/css/main.css)
21:48:08	112484/112484	---M--	200	added ('OK')	application/font-sfnt	etag:%221b764-5a652a40963ad%22	http://exill.dk/demo/kitzu/template/fonts/ionicons.ttf?v=4.5.7	E:/theme/Profile%201/exill.dk/demo/kitzu/template/fonts/ionicons9a08.ttf	(from http://exill.dk/demo/kitzu/template/css/ionicons.min.css)
